name,budget,release_date,vote_average,adult,id,language,popularity,revenue,runtime,status,tagline,title,vote_count,First_genre,Second_genre,Third_genre,collection_name
Mulholland Drive,15000000,2001-09-08,7.8,False,1018,en,16.046,20117339,147.0,Released,An actress longing to be a star. A woman searching for herself. Both worlds will collide… on Mulholland Drive.,Mulholland Drive,3192,Thriller,Drama,Mystery,
Adams æbler,3700000,2005-04-15,7.5,False,1023,da,8.238,0,94.0,Released,"When it rains, it pours",Adam's Apples,324,Drama,Comedy,Crime,
Heavenly Creatures,5000000,1994-09-12,7.1,False,1024,en,11.453,3049135,109.0,Released,Not all angels are innocent.,Heavenly Creatures,503,Drama,Fantasy,,
Die Siebtelbauern,0,1998-06-19,7.3,False,1039,de,1.919,0,95.0,Released,The rich get richer... and sometimes the poor get richer too.,The Inheritors,9,Drama,,,
Il gattopardo,0,1963-03-28,7.7,False,1040,it,9.634,0,186.0,Released,Luchino Visconti's enduring romantic adventure,The Leopard,317,Drama,,,
Sommersby,0,1993-02-05,6.3,False,1049,en,9.177,140081992,109.0,Released,She knew his face. His touch. His voice. She knew everything about him... But the truth.,Sommersby,175,,,,
洗澡,0,1999-09-13,7.2,False,1050,zh,2.519,0,92.0,Released,,Shower,29,Comedy,Drama,,
The French Connection,1800000,1971-10-09,7.6,False,1051,en,16.423,41158757,104.0,Released,There are no rules and no holds barred when Popeye cuts loose!,The French Connection,819,Action,Crime,Thriller,French Connection Collection
Blow-Up,1800000,1966-12-18,7.5,False,1052,en,12.83,0,111.0,Released,Michelangelo Antonioni's first British film,Blow-Up,555,Drama,Mystery,Thriller,
Breathless,0,1983-05-13,5.9,False,1058,en,9.396,19910002,100.0,Released,He's the last man on earth any woman needs - but every woman wants...,Breathless,108,,,,
隠し砦の三悪人,0,1958-12-28,8.1,False,1059,ja,10.07,0,139.0,Released,,The Hidden Fortress,231,,,,
Arlington Road,21500000,1999-03-19,7.1,False,1073,en,12.765999999999998,0,117.0,Released,Your Paranoia Is Real.,Arlington Road,498,,,,
"Crna mačka, beli mačor",0,1998-06-01,7.7,False,1075,sr,7.669,0,127.0,Released,,"Black Cat, White Cat",320,Comedy,Romance,,
Whale Rider,8000000,2003-01-30,7.4,False,1088,en,9.779,41400000,101.0,Released,In the ways of the ancients she found a hope for the future.,Whale Rider,184,Drama,Family,,
Point Break,24000000,1991-07-12,7.0,False,1089,en,13.969000000000001,83531958,120.0,Released,100% Pure Adrenaline!,Point Break,1751,Action,Thriller,Crime,
The Thirteenth Floor,16000000,1999-04-16,7.0,False,1090,en,14.542,18564088,101.0,Released,Question reality.,The Thirteenth Floor,675,Thriller,Science Fiction,Mystery,
The Thing,15000000,1982-06-25,8.0,False,1091,en,21.279,19629760,109.0,Released,Man is The Warmest Place to Hide.,The Thing,3385,Horror,Mystery,Science Fiction,The Thing Collection
The Third Man,0,1949-08-31,8.1,False,1092,en,13.522,596349,105.0,Released,Hunted by men ... Sought by WOMEN!,The Third Man,855,Thriller,Mystery,,
